Lineage ID	Frequency  Day 0	Frequency  Day 3	Frequency  Day 6	Frequency  Day 9	Afatinib  response  group
bc14-012:bc30-080160	#N/A	#N/A	#N/A	#N/A	Tolerant
bc14-012:bc30-083558	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-013:bc30-009766	0.129785853341986	0.208768267223382	#N/A	#N/A	Tolerant
bc14-013:bc30-018603	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-013:bc30-028407	0.194678780012979	0.417536534446764	#N/A	#N/A	Sensitive
bc14-013:bc30-085462	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-013:bc30-093973	#N/A	#N/A	0.106157112526539	#N/A	Tolerant
bc14-014:bc30-000356	0.129785853341986	#N/A	0.212314225053079	#N/A	Sensitive
bc14-014:bc30-064469	0.843608046722907	#N/A	0.106157112526539	#N/A	Sensitive
bc14-014:bc30-095687	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-015:bc30-045353	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-015:bc30-060120	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-015:bc30-066453	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-015:bc30-077167	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-015:bc30-079242	0.0648929266709929	0.208768267223382	0.106157112526539	#N/A	Sensitive
bc14-015:bc30-081240	0.129785853341986	0.208768267223382	0.106157112526539	#N/A	Sensitive
bc14-015:bc30-091592	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-016:bc30-007195	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-017:bc30-037177	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-018:bc30-015072	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-018:bc30-028041	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-018:bc30-029572	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-018:bc30-034063	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-018:bc30-054089	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-018:bc30-065781	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-019:bc30-065627	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-019:bc30-068533	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-020:bc30-079030	0.0648929266709929	#N/A	0.212314225053079	#N/A	Sensitive
bc14-021:bc30-010896	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-021:bc30-024916	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-021:bc30-031240	0.129785853341986	#N/A	#N/A	#N/A	Tolerant
bc14-021:bc30-046704	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-021:bc30-053172	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-021:bc30-061643	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-021:bc30-076957	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-021:bc30-089309	0.129785853341986	#N/A	0.106157112526539	#N/A	Sensitive
bc14-021:bc30-099996	0.129785853341986	0.417536534446764	#N/A	#N/A	Sensitive
bc14-022:bc30-029811	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-022:bc30-032129	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-022:bc30-032693	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-022:bc30-034018	0.129785853341986	0.208768267223382	#N/A	#N/A	Sensitive
bc14-022:bc30-059089	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
