cluster	gene
Ductal cell RPS3	C12orf57
Ductal cell RPS3	NTS
Ductal cell RPS3	LAPTM4B
Ductal cell RPS3	JUNB
Ductal cell RPS3	DNPH1
Ductal cell RPS3	HERPUD1
Ductal cell RPS3	EIF4A2
Ductal cell RPS3	HES1
Ductal cell RPS3	ZFP36L1
Ductal cell RPS3	BST2
Ductal cell RPS3	SLC12A2
Ductal cell RPS3	SOD1
Ductal cell RPS3	MRPL18
Ductal cell RPS3	FBXO2
Ductal cell RPS3	ANKRD37
Ductal cell RPS3	MPST
Ductal cell RPS3	DNAJA4
Ductal cell RPS3	C19orf70
Ductal cell RPS3	MT-CYB
Ductal cell RPS3	RPS15
Ductal cell RPS3	HSPA1A
Ductal cell RPS3	MT-ATP6
Ductal cell RPS3	CXCL8
Ductal cell RPS3	ERGIC3
Ductal cell RPS3	HSPH1
Ductal cell RPS3	HSPA1B
Ductal cell RPS3	AKR7A3
Ductal cell RPS3	ATP5MG
Ductal cell RPS3	TPT1
Ductal cell RPS3	C12orf75
Ductal cell RPS3	HMGCS1
Ductal cell RPS3	MTDH
Ductal cell RPS3	CAPS
Ductal cell RPS3	SNX5
Ductal cell RPS3	LYZ
Ductal cell RPS3	HSP90AA1
Ductal cell RPS3	FAM107B
Ductal cell RPS3	BRI3
Ductal cell RPS3	MARCKSL1
Ductal cell RPS3	TKT
Ductal cell RPS3	KRT17
Ductal cell RPS3	PRDX1
Ductal cell RPS3	HSPA8
Ductal cell RPS3	SUMO2
Ductal cell RPS3	MT-CO2
Ductal cell RPS3	LPP
Ductal cell RPS3	DSTN
Ductal cell RPS3	P4HB
Ductal cell RPS3	ITM2B
Ductal cell RPS3	OLFM4
Ductal cell RPS3	GPX2
Ductal cell RPS3	HLA-E
Ductal cell RPS3	SRI
Ductal cell RPS3	SERPINA1
Ductal cell CEACAM6	TM4SF1
Ductal cell CEACAM6	LAMB3
Ductal cell CEACAM6	LMO7
Ductal cell CEACAM6	GPRC5A
Ductal cell CEACAM6	SLC2A1
Ductal cell CEACAM6	CEACAM6
Ductal cell CEACAM6	CD55
Ductal cell CEACAM6	MAL2
Ductal cell CEACAM6	CEACAM5
Ductal cell CEACAM6	EMP1
Ductal cell CEACAM6	AREG
Ductal cell CEACAM6	KCNK1
Ductal cell CEACAM6	LAMC2
Ductal cell CEACAM6	SDCBP2
Ductal cell CEACAM6	CLDN4
Ductal cell CEACAM6	TMBIM1
Ductal cell CEACAM6	HK2
Ductal cell CEACAM6	CDCP1
Ductal cell CEACAM6	PERP
Ductal cell CEACAM6	EZR
Ductal cell CEACAM6	NDRG1
Ductal cell CEACAM6	ITGB1
Ductal cell CEACAM6	ERO1A
Ductal cell CEACAM6	MAFF
Ductal cell CEACAM6	KRT7
Ductal cell CEACAM6	F3
Ductal cell CEACAM6	APOL1
Ductal cell CEACAM6	ITGA2
Ductal cell CEACAM6	KRT19
Ductal cell CEACAM6	WNT7B
Ductal cell CEACAM6	EPHA2
Ductal cell CEACAM6	JUP
Ductal cell CEACAM6	UGCG
Ductal cell CEACAM6	F11R
Ductal cell CEACAM6	PLAUR
Ductal cell CEACAM6	TMC5
Ductal cell CEACAM6	PRSS22
Ductal cell CEACAM6	SDC4
Ductal cell CEACAM6	CAMK2N1
Ductal cell CEACAM6	FLNB
Ductal cell CEACAM6	SGMS2
Ductal cell CEACAM6	C19orf33
Ductal cell CEACAM6	LAMA3
Ductal cell CEACAM6	TACSTD2
Ductal cell CEACAM6	DUSP5
Ductal cell CEACAM6	MALL
Ductal cell CEACAM6	PLEC
Ductal cell CEACAM6	RIOK3
Ductal cell CEACAM6	GCNT3
Ductal cell CEACAM6	TNFRSF12A
